Country,iso,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max
Sri Lanka,LKA,2.8920476482088526,1.627378376330163,0.4860091278241251,2.7656028360931653,1.4130230829738388,4.363668423671869,-2.5289196262813203,12.957026773927486
Lesotho,LSO,0.014115512092891976,0.06818731247568312,0.17865932370334003,0.013446093349556293,-0.05176997290425698,0.07617053519552995,-0.32651486935562263,0.455358112715276
Lithuania,LTU,-0.24028651037163773,0.18986367709683702,-0.6030704644448528,-0.22808244880470616,-0.4082178864222252,-0.06539347965338305,-2.0499835604865333,0.4684469534875048
Luxembourg,LUX,-0.07385966459403336,0.10110555597449956,-0.2740156376563506,-0.071509708211909,-0.16458122419229765,0.01964272335859173,-0.7563921080120519,0.37828567094800636
Latvia,LVA,-0.1755702060101678,0.1329177818798533,-0.6664648730651972,-0.16596074873589728,-0.2926658353636365,-0.05411426645906189,-1.5126457636671111,0.305947037315532
Morocco,MAR,2.3721368653481503,2.0355731004662827,0.5258875635830346,2.247955924792003,0.467460087667836,4.191263649564188,-5.228299759470308,16.891803235595948
Moldova,MDA,-0.03357531750909551,0.06302110217589019,-0.16347427954060334,-0.03275963544856334,-0.09059014889181975,0.024696177592204813,-0.4519132297321687,0.2700008018251558
Madagascar,MDG,1.5810340785322639,1.05745458795534,0.5134813577763667,1.502493165184203,0.6067260775916755,2.5374918132248023,-1.970903670995566,8.162028901609856
Mexico,MEX,15.079475273269475,11.185851671087667,0.4599683206943452,14.424854763350108,4.581343095575122,25.25504876503894,-22.194710978585228,85.56599115858829
North Macedonia,MKD,-0.04707540447290429,0.11085988372573706,-0.07310847027309587,-0.04606104089213328,-0.1472070198390526,0.054296732831623326,-0.7573785470914987,0.5919026921060042
Mali,MLI,2.9140520970992916,1.463991983400427,0.19419217982762876,2.856140823886809,1.5830741464295526,4.2674041982642565,-2.606533245418752,10.483962157265719
